Finger 0 Metacarpal Bone X,Finger 0 Metacarpal Bone Y,Finger 0 Metacarpal Bone Z,Finger 0 Proximal Bone X,Finger 0 Proximal Bone Y,Finger 0 Proximal Bone Z,Finger 0 Intermediate Bone X,Finger 0 Intermediate Bone Y,Finger 0 Intermediate Bone Z,Finger 0 Distal Bone X,Finger 0 Distal Bone Y,Finger 0 Distal Bone Z,Finger 1 Metacarpal Bone X,Finger 1 Metacarpal Bone Y,Finger 1 Metacarpal Bone Z,Finger 1 Proximal Bone X,Finger 1 Proximal Bone Y,Finger 1 Proximal Bone Z,Finger 1 Intermediate Bone X,Finger 1 Intermediate Bone Y,Finger 1 Intermediate Bone Z,Finger 1 Distal Bone X,Finger 1 Distal Bone Y,Finger 1 Distal Bone Z,Finger 2 Metacarpal Bone X,Finger 2 Metacarpal Bone Y,Finger 2 Metacarpal Bone Z,Finger 2 Proximal Bone X,Finger 2 Proximal Bone Y,Finger 2 Proximal Bone Z,Finger 2 Intermediate Bone X,Finger 2 Intermediate Bone Y,Finger 2 Intermediate Bone Z,Finger 2 Distal Bone X,Finger 2 Distal Bone Y,Finger 2 Distal Bone Z,Finger 3 Metacarpal Bone X,Finger 3 Metacarpal Bone Y,Finger 3 Metacarpal Bone Z,Finger 3 Proximal Bone X,Finger 3 Proximal Bone Y,Finger 3 Proximal Bone Z,Finger 3 Intermediate Bone X,Finger 3 Intermediate Bone Y,Finger 3 Intermediate Bone Z,Finger 3 Distal Bone X,Finger 3 Distal Bone Y,Finger 3 Distal Bone Z,Finger 4 Metacarpal Bone X,Finger 4 Metacarpal Bone Y,Finger 4 Metacarpal Bone Z,Finger 4 Proximal Bone X,Finger 4 Proximal Bone Y,Finger 4 Proximal Bone Z,Finger 4 Intermediate Bone X,Finger 4 Intermediate Bone Y,Finger 4 Intermediate Bone Z,Finger 4 Distal Bone X,Finger 4 Distal Bone Y,Finger 4 Distal Bone Z,Hand sign
-17.856651,-12.280624,46.152473,-20.080128,-15.665970,25.587608,-16.195162,-25.108154,-6.389990,-4.423693,-35.087021,-20.896294,-16.024364,7.986435,12.933293,-19.227070,13.437103,-35.283878,-15.771906,16.127594,-60.849285,-14.302477,17.618637,-74.617638,0.131935,6.926895,10.591453,1.535830,12.481430,-38.761562,4.720404,14.786850,-68.642265,5.368460,13.771713,-85.247475,14.212116,1.954376,11.719337,18.886700,6.263733,-33.387302,19.945992,8.580368,-62.057522,17.938227,6.767227,-78.328300,27.076061,-7.015640,14.972751,33.994926,-4.165085,-24.023289,29.355083,-7.816330,-41.882053,20.604038,-15.945038,-42.890842,1.000000
-16.916853,-10.208649,47.116428,-20.091347,-14.847549,26.926029,-17.482002,-26.267776,-4.433464,-6.064180,-37.130646,-18.536167,-15.761328,8.465225,12.696500,-19.618252,12.383987,-35.758183,-16.108261,15.208817,-61.750053,-14.515627,16.886703,-75.838272,0.296690,7.620255,10.058367,0.792054,12.363815,-39.554695,4.088900,16.359940,-69.840874,5.152328,16.253189,-86.775467,14.439482,2.847916,11.097987,18.459089,6.803986,-34.216793,19.758131,11.232925,-63.253429,18.498655,11.428940,-80.135818,27.227285,-6.588104,14.997663,34.231148,-3.471085,-23.688519,31.815584,-3.518463,-43.854298,24.174391,-9.696671,-49.586445,1.000000
-16.418440,-7.385025,47.957470,-20.069662,-13.147064,28.111549,-18.194157,-26.441849,-2.600454,-7.204264,-38.322983,-16.411835,-15.338970,9.287201,12.417589,-19.707573,11.617538,-36.024109,-16.063379,14.638519,-62.127975,-14.367465,16.398682,-76.299461,0.641925,8.297546,9.509941,0.727288,11.351593,-40.153580,4.381322,15.388184,-70.589806,5.685277,15.023026,-87.619469,14.715911,3.369843,10.715279,18.331779,5.484253,-34.558308,19.559410,9.117264,-63.500877,17.882061,8.254532,-80.201103,27.197689,-6.260773,14.833771,34.470558,-4.557327,-23.787640,32.510872,-4.893707,-43.154312,25.409714,-10.537048,-51.883568,1.000000
-15.509535,-5.579544,48.551422,-20.358068,-12.004990,29.173653,-19.395731,-25.980804,-0.903563,-7.731534,-37.507553,-14.308234,-15.694822,9.486160,12.772646,-20.600708,9.444641,-35.048752,-17.002926,10.776749,-60.401966,-15.765170,11.088852,-74.058418,0.967143,8.758286,9.238689,0.065117,9.576004,-40.119888,3.340673,11.860291,-70.133118,4.307056,9.120499,-86.395889,15.161379,4.131042,10.348373,17.797192,4.569794,-34.715618,18.526957,7.201950,-63.295700,16.245865,4.789154,-79.312309,27.746397,-4.973495,14.250004,34.122726,-4.749237,-24.575457,33.349083,-3.985016,-45.418297,28.000826,-7.602402,-56.153854,1.000000
-15.687293,-2.323837,49.166676,-21.271790,-9.022980,30.065922,-21.067497,-23.764816,0.580328,-9.525959,-35.996674,-12.464373,-15.255899,10.595001,12.053645,-20.345913,9.404800,-35.772003,-15.886803,7.401428,-60.490257,-13.411219,1.141815,-72.694344,1.246555,9.316071,8.846717,-0.048961,6.716980,-40.358131,2.754963,6.068298,-70.191399,2.889225,0.960907,-85.494331,15.294907,4.261871,10.172492,17.450844,1.237244,-34.741982,17.411243,0.577179,-63.006855,14.258938,-3.909073,-78.154266,27.725956,-4.975372,14.295815,33.443825,-7.561752,-24.589752,32.001923,-8.493195,-45.459339,26.254395,-12.792816,-55.758293,1.000000
-15.397143,-2.961548,49.042961,-20.964832,-9.113922,29.767845,-21.061039,-23.106049,-0.185149,-9.963161,-35.177734,-13.673800,-15.189289,10.540497,12.351275,-20.408375,10.864014,-35.361301,-16.109425,9.243103,-59.713337,-13.874079,3.179855,-71.976143,1.424730,9.231201,9.011071,-0.023111,7.885040,-40.167568,2.790997,8.509552,-69.960190,3.097750,4.797028,-85.738319,15.397160,3.927338,10.202378,17.399837,2.160126,-34.696892,17.520519,3.209198,-62.998119,14.561562,0.202652,-78.528381,27.748203,-5.803284,14.278655,33.391800,-7.377731,-24.505684,31.863262,-7.454987,-45.112942,25.801193,-11.367249,-55.162582,1.000000
-15.076803,-1.125916,49.370964,-20.803280,-7.812210,30.304794,-21.072723,-22.835983,0.897600,-10.113086,-35.629547,-12.212736,-14.900840,11.173462,11.971195,-20.142017,9.469131,-35.707726,-15.573187,8.382751,-60.888859,-13.255470,3.336166,-73.631454,1.568176,9.466400,8.693077,-0.097340,6.394501,-40.363144,2.654499,5.959518,-70.141350,2.607328,1.710098,-85.730873,15.486374,4.056732,10.017179,17.266136,0.380661,-34.750164,17.113228,-0.433456,-62.835335,13.841553,-4.541824,-77.983315,27.773808,-5.570175,14.237822,33.137218,-8.906326,-24.537064,31.270641,-10.416122,-44.934765,24.940071,-15.082352,-54.566978,1.000000
-14.575875,-1.716080,49.421894,-20.446484,-8.189911,30.338131,-21.086805,-22.852295,0.703976,-10.437004,-35.472870,-12.777469,-14.847539,11.042328,12.231033,-20.385029,9.962585,-35.395123,-16.011805,9.494629,-60.608974,-13.848279,6.026306,-73.879730,1.660072,9.380890,8.754171,-0.204544,7.234634,-40.341896,2.622948,7.767044,-70.186081,3.026993,4.864853,-86.267746,15.569111,3.925888,9.961220,17.187138,1.274231,-34.839630,17.312519,1.784180,-63.042713,14.431507,-1.364594,-78.527451,27.844952,-5.912506,14.102074,33.171654,-8.449066,-24.649975,31.382767,-9.316162,-44.935455,25.136906,-13.579422,-54.766048,1.000000
-15.506917,-1.238586,49.139877,-21.205383,-7.787155,30.015989,-21.805792,-22.775284,0.450850,-11.414118,-35.847351,-12.872947,-14.780948,11.376236,12.000772,-19.905413,9.855484,-35.760273,-15.546545,9.090942,-61.104980,-13.421459,3.945206,-73.639931,1.674654,9.344193,8.768740,0.243986,6.671890,-40.362465,3.044853,6.389771,-70.187614,2.905405,2.199448,-85.824089,15.470751,3.667587,10.160440,17.586885,0.308960,-34.639534,17.704096,-0.283432,-62.777290,14.459810,-4.271561,-77.989426,27.531752,-6.174866,14.417883,33.210892,-9.431458,-24.346218,31.406496,-11.063797,-44.648888,24.884527,-15.844162,-54.120758,1.000000
-15.953671,-1.216690,48.951096,-21.658216,-8.613831,30.129103,-22.565037,-24.574768,0.807762,-12.518367,-37.749481,-12.704857,-15.636106,10.599854,11.653959,-20.316362,7.352264,-36.155823,-15.781341,5.721680,-61.519684,-13.224634,-0.913635,-72.960243,0.942265,9.617187,8.543018,0.081654,5.670929,-40.563148,3.165573,4.642059,-70.398010,3.659939,-0.178482,-85.946503,15.094921,4.998398,10.157206,17.971569,0.813477,-34.533073,18.755062,-0.085968,-62.734650,16.284878,-4.219727,-78.098618,27.716293,-3.893127,14.727011,34.137959,-7.404800,-23.878689,33.121502,-9.093506,-44.354340,27.472294,-14.121765,-54.252914,1.000000
-17.361444,-3.964951,48.036503,-22.096630,-10.969864,28.801098,-21.915918,-26.115402,-1.202385,-11.678308,-38.749161,-15.013337,-16.086142,10.250992,11.807379,-20.280130,6.989731,-36.525352,-16.241632,1.497879,-61.283222,-14.111349,-8.422516,-67.697433,0.562847,8.814987,9.178732,0.566513,5.939346,-40.173485,3.350842,3.064163,-69.664948,3.103413,-4.773636,-83.371521,14.724358,4.323303,10.915268,18.725151,1.132645,-33.917007,19.424709,-1.290421,-61.765827,16.301754,-7.194946,-76.326057,27.380779,-4.249527,15.245216,34.679867,-6.930069,-23.477757,33.636330,-9.552231,-43.858223,27.518097,-15.486496,-52.968086,1.000000
-17.890213,-7.537842,47.273209,-21.552479,-14.479492,27.812284,-19.937630,-28.849182,-2.695896,-9.008705,-40.302536,-16.761250,-16.633512,8.957291,11.553152,-20.693037,5.297836,-37.331688,-17.112812,-4.874557,-59.565926,-14.656445,-16.642044,-60.894699,-0.455313,8.059402,9.674578,0.426382,6.600800,-39.866543,3.197226,3.287094,-69.178658,3.443583,-4.730118,-83.062950,13.950956,4.545410,11.524099,19.197374,3.268478,-33.370193,20.501131,1.322220,-61.283363,17.876516,-4.488174,-76.046989,27.098192,-3.115555,15.823835,35.578346,-3.972137,-22.778482,34.977760,-6.717651,-42.958969,28.878340,-13.350571,-51.434486,1.000000
